CUSIP,Security Description,Ticker,Coupon,Maturity,Price,Current Face (m),Market Value,Market Value %,Yield to Worst,Duration,Spread Duration,OAS,WAL to Maturity,Structure,MSCI ESG Rating,Fitch Rating,Moody's Rating,S&P Rating,Barclays Sub Sector,Barclays Industry,Barclays Sub Industry,Country Name,Custom DxS(O),KRD Contribution 3M,KRD Contribution 1Y,KRD Contribution 2Y,KRD Contribution 3Y,KRD Contribution 5Y,KRD Contribution 7Y,KRD Contribution 10Y,KRD Contribution 15Y,KRD Contribution 20Y,KRD Contribution 25Y,KRD Contribution 30Y,KRD Contribution 40Y,KRD Contribution 50Y
00185AAE4,AON PLC,AON,2.875,1778716800000000000,98.590018,500000.0,506775.2266120219,3.789451611994319e-05,3.603890395615861,1.826843828844176,1.846203607490363,50.85093730268296,2.038251366120219,SENIOR,BBB,BBB+,Baa2,A-,Financial Institutions,Insurance,Property & Casualty,United States,0.9388118389247954,5.2604603659265896e-08,6.385303608954631e-06,6.09609585079853e-05,1.8284962001551573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00206RBZ4,AT&T INC,T,3.5,1765929600000000000,99.384359,1000000.0,1006753.4260655737,7.528077918863467e-05,3.886809028295191,1.440580059899978,1.45596840300875,62.29744909055326,1.631147540983606,SENIOR,BBB,BBB+,Baa2,BBB,Industrial,Communications,Wirelines,United States,0.9070311746389175,7.594600676296231e-07,5.331354795080718e-05,5.4374981374443554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00206RCJ9,AT&T INC,T,2.45,2057529600000000000,86.582721,1250000.0,1086143.601541096,8.121724199569592e-05,3.994727004161769,9.3831467742411,9.495616991415352,132.85746959159837,10.873972602739727,SENIOR,BBB,BBB+,Baa2,BBB,Industrial,Communications,Wirelines,United States,12.6156364569043,2.8084375149166183e-07,2.0780795021875615e-06,4.1441163825570675e-06,9.832314522994602e-06,1.850945738428947e-05,3.1163506484719555e-05,0.0005834603939168808,0.00011260459029955217,0.0,0.0,0.0,0.0,0.0
02209SAX1,ALTRIA GROUP INC,MO,1.7,1749945600000000000,97.640055,750000.0,743447.9534836066,5.5591905401468544e-05,3.879667492104111,1.088375753005221,1.106027600775542,49.38556980563518,1.12568306010929,SENIOR,A,BBB,A3,BBB,Industrial,Consumer Non-Cyclical,Tobacco,United States,0.5462180328505972,1.593894301446271e-07,5.2137656417925264e-05,8.207836054248438e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02209SAY9,ALTRIA GROUP INC,MO,2.2,1813017600000000000,94.839234,1000000.0,967627.3126775956,7.23550932895752e-05,3.987116922272649,2.925300096252275,2.961003565006562,115.91311118113707,3.12568306010929,SENIOR,A,BBB,A3,BBB,Industrial,Consumer Non-Cyclical,Tobacco,United States,3.4321913543834883,2.2684834348225317e-07,1.5005102455196378e-06,3.92164637821914e-06,0.000194392741419778,1.1618614977337693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02209SAZ6,ALTRIA GROUP INC,MO,3.125,1939248000000000000,91.881835,1250000.0,1182675.942964481,8.843552374285174e-05,4.479629986732658,6.161321568536358,6.229256119665058,184.9084444188155,7.12568306010929,SENIOR,A,BBB,A3,BBB,Industrial,Consumer Non-Cyclical,Tobacco,United States,11.518420589736527,4.025906971019853e-07,2.6454591305050537e-06,5.2107627226241305e-06,1.2302919799269773e-05,2.9506706408499e-05,0.00047724642161206765,1.7564839491574034e-05,0.0,0.0,0.0,0.0,0.0,0.0
05599H9Z3,ITALY (REPUBLIC OF)        RegS,BTPS,7.25,1793491200000000000,109.171989,12423130.0,14010441.892059699,0.001047641810898238,3.425032363981617,2.240105367102155,2.272493570274355,48.81873644460625,2.502747252747253,SENIOR,BBB,BBB,Baa3,BBB,Treasury,Treasury,Treasury,Italy,1.1094026467928604,1.1278863282244104e-05,6.025971765274093e-05,0.00113805135495013,0.0011372381075086496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05599J9K2,BUONI POLIENNALI DEL TESORO RegS,BTPS,6.5,1825027200000000000,110.297838,27763132.0,31519477.65171096,0.0023568937296916713,3.387293024184257,3.07717900411553,3.119155462738705,61.63438591367279,3.502747252747253,SENIOR,BBB,BBB,Baa3,BBB,Treasury,Treasury,Treasury,Italy,1.9224723151517795,2.2608474080908937e-05,0.00012069752093225465,0.0002461457104177629,0.00515767623740353,0.0017054559571042954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05599J9W6,ITALY (REPUBLIC OF)        RegS,BTPS,5.25,1888185600000000000,109.073673,30819999.0,34421085.65775747,0.0025738637502942473,3.456005785038796,4.715115900027501,4.775729348761216,83.65098891646404,5.502747252747253,SENIOR,BBB,BBB,Baa3,BBB,Treasury,Treasury,Treasury,Italy,3.994944828212565,2.027848684805412e-05,0.00010810069500445112,0.0002200153733331695,0.0005285591589902725,0.008501680192238324,0.0027574319871025497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075887BP3,BECTON DICKINSON AND COMPANY,BDX,1.9,1797292800000000000,95.609359,500000.0,481602.8059289617,3.601222856668341e-05,3.681623323784855,2.491878071136373,2.520845354450925,77.23264674589696,2.62568306010929,SENIOR,BBB,BBB,Baa2,BBB,Industrial,Consumer Non-Cyclical,Healthcare,United States,1.9469155876134367,2.0635775731404082e-07,6.134237100737881e-07,3.623053504458299e-05,5.268776614609841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07799M9C7,BELGIUM KINGDOM OF (GOVERNMENT),BGB,5.5,1837814400000000000,109.433733,20687939.0,22742456.830613557,0.0017005850951640684,2.910459509278063,3.576885267384203,3.624835559668845,20.25603525106939,3.90958904109589,SENIOR,A,AA-,Aa3,AA,Treasury,Treasury,Treasury,Belgium,0.7342479687598197,7.98337023567947e-06,7.747230042243107e-05,0.00015666684276658915,0.00324692420471852,0.0025937510546823004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08013Z9H5,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,6.5,1814659200000000000,111.063019,13750000.0,16006189.019603826,0.001196875371902495,2.80779339748225,2.813760017994285,0.0,1.586581652853592,3.1775956284153,SENIOR,AA,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Germany,0.0,1.2219074940757606e-05,6.064882785102403e-05,0.00012286015516668365,0.002872574216905994,0.00029941779311682114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08013Z9L6,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,5.625,1830556800000000000,110.073415,17000000.0,19018167.025409836,0.0014220983960368451,2.70768194231692,3.346056478008926,0.0,-1.822058566460123,3.680327868852459,SENIOR,AA,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Germany,0.0,1.9080825140668727e-05,6.290936524343744e-05,0.00013249414584332793,0.003014582389944798,0.0015293548242529573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08013Z9R3,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,4.75,1846281600000000000,108.142033,13750000.0,15406662.392691256,0.0011520452968813522,2.662478762847997,3.719128541623572,0.0,-1.273765250118239,4.1775956284153,SENIOR,AA,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Germany,0.0,8.934723918191974e-06,4.436279822193767e-05,8.989688104863714e-05,0.0017612071702423444,0.0023802029714435273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199959D2,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,6.25,1893715200000000000,118.997606,11750000.0,14216977.926311476,0.0010630857052883146,2.605320797793786,4.886809364231099,0.0,1.447407944963515,5.680327868852459,SENIOR,AA,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Germany,0.0,1.4660149451457701e-05,4.832754456090348e-05,0.00010176040678633904,0.0002461640868497176,0.0032173388961296797,0.0015668460958050605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200069J2,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,5.5,1925251200000000000,117.676789,21500000.0,25678521.930081967,0.0019201316720258207,2.582628869089332,5.706642375701881,0.0,1.360986347010249,6.680327868852459,SENIOR,AA,AAA,Aaa,AAA,Treasury,Treasury,Treasury,Germany,0.0,2.3609236682681118e-05,7.782966349071828e-05,0.00016388532841222906,0.00039646328420299214,0.002120925771517797,0.008174791482203436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171239AC0,CHUBB INA HOLDINGS INC,CB,0.875,1813017600000000000,91.947179,575000.0,533095.1863538251,3.9862611808795e-05,3.647027410809756,3.017064689695794,3.055902213542955,84.21363018933988,3.12568306010929,SENIOR,BBB,A,A3,A,Financial Institutions,Insurance,Property & Casualty,Switzerland,2.5734861890609158,5.1882605615209604e-08,3.443377074118581e-07,1.2054465661892133e-06,0.0001109804431754599,7.685968472689797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191216BK5,COCA-COLA CO,KO,1.875,1790035200000000000,96.377882,856988.0,835649.4626974387,6.248634576420068e-05,3.473093766281909,2.305939422615969,2.339409101127775,53.18704843370702,2.396174863387978,SENIOR,AAA,WD,A1,A+,Industrial,Consumer Non-Cyclical,Food and Beverage,United States,1.2442626516793798,3.708743957421293e-07,1.0329315830436542e-06,8.491777323655905e-05,5.776814885753786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23355LAH9,DXC TECHNOLOGY CO,DXC,1.75,1768435200000000000,96.18428,650000.0,628492.2189071039,4.699599994233248e-05,4.101039796720096,1.65658073073,1.680391983500271,93.58208913915804,1.710382513661202,SENIOR,AA,BBB,Baa2,NR,Industrial,Technology,Technology,United States,1.5725459238864894,2.1383293484454733e-07,2.2708327952212767e-05,5.4930507038798864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260543DA8,DOW CHEMICAL COMPANY (THE),DOW,1.125,1962921600000000000,82.065103,750000.0,616551.6286643835,4.6103132916334754e-05,3.803174200066506,7.420507978945916,7.508374072797761,121.57836965809992,7.873972602739726,SENIOR,AA,BBB+,Baa1,BBB,Industrial,Basic Industry,Chemicals,United States,9.128558785538994,7.730418985915188e-08,5.72169976749175e-07,1.1424692958009952e-06,2.715575984976859e-06,5.123512443320489e-06,0.00023770642968196692,9.477120408739255e-05,0.0,0.0,0.0,0.0,0.0,0.0
260543DB6,DOW CHEMICAL COMPANY (THE),DOW,1.875,2215382400000000000,75.313612,500000.0,377749.5668493151,2.8246520939809e-05,4.006317891375888,13.202930121553651,13.364459946056142,120.63641013620025,15.873972602739725,SENIOR,AA,BBB+,Baa1,BBB,Industrial,Basic Industry,Chemicals,United States,16.122404713012497,8.610772211049303e-08,6.373042470948767e-07,1.2724532489004235e-06,3.0242878957899194e-06,5.705375765508232e-06,9.634415273085814e-06,1.953351232167593e-05,0.00028198792056946217,5.105546510167238e-05,0.0,0.0,0.0,0.0
278865AS9,ECOLAB INC,ECL,2.625,1751932800000000000,98.80064,575000.0,580351.8869672131,4.339626876188111e-05,3.668315001248512,1.083179969870046,1.095769074300081,29.511580616675335,1.188524590163935,SENIOR,AAA,A-,A3,A-,Industrial,Basic Industry,Chemicals,United States,0.32337877373466545,6.825660937403747e-07,3.9234791328945334e-05,7.088611667281084e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291011BH6,EMERSON ELECTRIC CO,EMR,1.25,1760486400000000000,96.48808,500000.0,485821.54754098365,3.632768828852382e-05,3.764660265349051,1.41838661273301,1.440198281236443,52.62946708835689,1.459016393442623,SENIOR,A,,A2,A,Industrial,Capital Goods,Diversified Manufacturing,United States,0.7579686804304153,1.474710897907851e-07,2.7502481747879844e-05,2.3876753902309307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291011BJ2,EMERSON ELECTRIC CO,EMR,2.0,1886716800000000000,92.346592,500000.0,467142.7960655738,3.493096995716934e-05,3.565844498062543,5.043535914249175,5.098068070146208,94.74581679605886,5.459016393442623,SENIOR,A,,A2,A,Industrial,Capital Goods,Diversified Manufacturing,United States,4.8302062338791,2.362854793657652e-07,6.376984562773901e-07,1.353873897958079e-06,3.24164444845567e-06,0.00013587437995466183,3.483171926182378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31299G9Z4,FRANCE (REPUBLIC OF)       RegS,FRTR,6.0,1761350400000000000,103.785338,30653928.0,32759026.791548252,0.0024495819914582373,3.330320974523453,1.413366978662349,1.435897019266099,10.172472432661422,1.486338797814208,SENIOR,A,AA-,Aa2,AA,Treasury,Treasury,Treasury,France,0.14606622844625097,4.380837690397658e-05,0.0017118676334529016,0.0017064822878961508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31620MBL9,FIDELITY NATIONAL INFORMATION SERV,FIS,0.625,1764720000000000000,95.144348,625000.0,596242.4243169398,4.458449618921505e-05,3.823102440262005,1.561056774423184,1.585419384597542,63.37809091044739,1.592896174863388,SENIOR,AA,BBB,Baa2,BBB,Industrial,Technology,Technology,United States,1.0048085388820858,8.813803427978373e-08,2.7606355101576788e-05,4.19044366745622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31620MBM7,FIDELITY NATIONAL INFORMATION SERV,FIS,1.0,1859414400000000000,88.603241,625000.0,556314.6551571038,4.1598865849358015e-05,3.74597728499475,4.417703113746131,4.471016529065664,108.10518128696432,4.592896174863387,SENIOR,AA,BBB,Baa2,BBB,Industrial,Technology,Technology,United States,4.833400524116576,1.411894491620877e-07,3.996764654819288e-07,8.439920715887548e-07,3.845774853303933e-05,0.0001439288326717444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
