Rating,Market Value %,Portfolio
A,2.976311333068584,USD Portfolio
A+,2.03105553652355,USD Portfolio
A-,3.3381876862425637,USD Portfolio
A1,0.0633803309287737,USD Portfolio
A2,0.0124605911270473,USD Portfolio
A3,0.0773059681257253,USD Portfolio
AA,0.3418383522416969,USD Portfolio
AA+,69.7858475866635,USD Portfolio
AA-,2.516120391419933,USD Portfolio
AAA,2.2330372508662553,USD Portfolio
Aa1,0.0191421106492975,USD Portfolio
Aa2,0.0174436311782586,USD Portfolio
Aa3,0.0170301834516562,USD Portfolio
Aaa,0.2393600531389413,USD Portfolio
Agency,0.0149539830570506,USD Portfolio
BB+,0.1038891418969057,USD Portfolio
BB-,0.001937753739243,USD Portfolio
BBB,3.624841009236432,USD Portfolio
BBB+,2.497246947499826,USD Portfolio
BBB+(E,0.0011340458802962,USD Portfolio
BBB-,2.1566555803927785,USD Portfolio
Baa1,0.0697120229599027,USD Portfolio
Baa2,0.0492991769482065,USD Portfolio
Baa3,0.035000992933579,USD Portfolio
NR,7.046718245865378,USD Portfolio
UNK,0.010327099777642,USD Portfolio
WD,0.7197629941869668,USD Portfolio
A,2.3765802052874125,EUR Portfolio
A+,2.2661201156401525,EUR Portfolio
A-,12.511785399188804,EUR Portfolio
A1,0.0122575620619407,EUR Portfolio
A2,0.0221973294571276,EUR Portfolio
A3,0.0667742240601266,EUR Portfolio
AA,0.4356248741360808,EUR Portfolio
AA+,3.1291370238118685,EUR Portfolio
AA-,20.991982323220775,EUR Portfolio
AAA,23.1794164515385,EUR Portfolio
Aa1,0.1126638561834989,EUR Portfolio
Aa2,0.0799058165304938,EUR Portfolio
Aa3,0.0268375621797434,EUR Portfolio
Aaa,0.2233303600414914,EUR Portfolio
BBB,14.440569346228482,EUR Portfolio
BBB(EX,0.0038006173985707,EUR Portfolio
BBB+,2.5822841700988866,EUR Portfolio
BBB-,2.1161506279065443,EUR Portfolio
Baa1,0.0153494259100737,EUR Portfolio
Baa2,0.0177902713405332,EUR Portfolio
Baa3,0.0034172661336091,EUR Portfolio
NR,14.750744436001566,EUR Portfolio
UNK,0.0024675471653976,EUR Portfolio
WD,0.6328131884783251,EUR Portfolio
