Sector,Market Value %,Portfolio
Treasury,59.028614930942766,USD Portfolio
Industrial,19.82345344966535,USD Portfolio
Financial Institutions,11.354776280847194,USD Portfolio
Non - Corporate,4.7272655893360795,USD Portfolio
Utility,3.1034135980225077,USD Portfolio
US Agencies,1.2591104164018134,USD Portfolio
Asset Backed,0.7033657347842993,USD Portfolio
Treasury,55.20559835042168,EUR Portfolio
Non - Corporate,18.59835679035087,EUR Portfolio
Industrial,9.468029754742323,EUR Portfolio
Financial Institutions,8.403295244757361,EUR Portfolio
European Collateralized,6.753741423869701,EUR Portfolio
Utility,1.560793862886276,EUR Portfolio
Asset Backed,0.0101845729717741,EUR Portfolio
