Barclays Sub Industry,Market Value %,Portfolio
Treasury,55.20559835042168,EUR Portfolio
Supranational,6.873150059740937,EUR Portfolio
Foreign Agencies,6.717271668800966,EUR Portfolio
Banking,6.121099217322155,EUR Portfolio
Mortgages Other,5.05815294824443,EUR Portfolio
Foreign Local Government,3.840870190420837,EUR Portfolio
Automotive,1.236305453377832,EUR Portfolio
Sovereign,1.1670648713881286,EUR Portfolio
Pfand Trad Hypo,1.0823932289659077,EUR Portfolio
Electric,0.9457816057048765,EUR Portfolio
