Rating,Market Value %,Portfolio
A,2.395053488578198,EUR Portfolio
A+,2.280033558043008,EUR Portfolio
A-,12.601693716823057,EUR Portfolio
AA,0.39654540116165604,EUR Portfolio
AA+,3.0623167536657014,EUR Portfolio
AA-,21.155154109062156,EUR Portfolio
AAA,23.341452238387927,EUR Portfolio
BBB,14.549744819124054,EUR Portfolio
BBB(EX,0.003830159798077229,EUR Portfolio
BBB+,2.587830768210283,EUR Portfolio
BBB-,2.12782003830311,EUR Portfolio
NR,14.858306142532388,EUR Portfolio
UNK,0.0024867275396675487,EUR Portfolio
WD,0.6377320787707281,EUR Portfolio
