Rating,Market Value %,Portfolio
A,10.310590205230238,EUR Portfolio
A+,2.576441020030469,EUR Portfolio
A-,5.443358982408909,EUR Portfolio
AA,20.34260124991043,EUR Portfolio
AA+,7.03146226206538,EUR Portfolio
AA-,1.5767469486661065,EUR Portfolio
AAA,19.989951841103068,EUR Portfolio
BB,0.016707542304703574,EUR Portfolio
BB+,0.09179515374387444,EUR Portfolio
BBB,16.05861363567356,EUR Portfolio
BBB+,4.701486222301557,EUR Portfolio
BBB-,3.20705693666616,EUR Portfolio
NR,8.653187999895549,EUR Portfolio
