Security Description,Market Value %,Portfolio
FRANCE (REPUBLIC OF)       RegS,11.085720851290569,EUR Portfolio
GERMANY (FEDERAL REPUBLIC OF) RegS,9.790773578751981,EUR Portfolio
SPAIN (KINGDOM OF),7.860455826563302,EUR Portfolio
ITALY (REPUBLIC OF)        RegS,6.522917472255283,EUR Portfolio
ITALY (REPUBLIC OF),4.935562353379376,EUR Portfolio
EUROPEAN UNION    RegS,2.716755446644532,EUR Portfolio
NETHERLANDS (KINGDOM OF),2.461540819156996,EUR Portfolio
FRANCE (REPUBLIC OF),2.0513868732812552,EUR Portfolio
BELGIUM KINGDOM OF (GOVERNMENT),1.9537108473668023,EUR Portfolio
AUSTRIA (REPUBLIC OF),1.7272884738943401,EUR Portfolio
