Rating,Market Value %,Portfolio
A,2.3765802052874125,EUR Portfolio
A+,2.2661201156401525,EUR Portfolio
A-,12.511785399188804,EUR Portfolio
A1,0.01225756206194079,EUR Portfolio
A2,0.022197329457127622,EUR Portfolio
A3,0.0667742240601266,EUR Portfolio
AA,0.43562487413608086,EUR Portfolio
AA+,3.1291370238118685,EUR Portfolio
AA-,20.991982323220775,EUR Portfolio
AAA,23.1794164515385,EUR Portfolio
Aa1,0.11266385618349894,EUR Portfolio
Aa2,0.07990581653049386,EUR Portfolio
Aa3,0.026837562179743472,EUR Portfolio
Aaa,0.22333036004149148,EUR Portfolio
BBB,14.440569346228482,EUR Portfolio
BBB(EX,0.0038006173985707945,EUR Portfolio
BBB+,2.5822841700988866,EUR Portfolio
BBB-,2.1161506279065443,EUR Portfolio
Baa1,0.015349425910073712,EUR Portfolio
Baa2,0.017790271340533226,EUR Portfolio
Baa3,0.0034172661336091493,EUR Portfolio
NR,14.750744436001566,EUR Portfolio
UNK,0.002467547165397683,EUR Portfolio
WD,0.6328131884783251,EUR Portfolio
