Tenor,Contribution,Portfolio
KRD Contribution 3M,4.397814989628588e-06,EUR Portfolio
KRD Contribution 1Y,9.14664126155769e-05,EUR Portfolio
KRD Contribution 2Y,0.00028561874823699554,EUR Portfolio
KRD Contribution 3Y,0.0005958876430939553,EUR Portfolio
KRD Contribution 5Y,0.0010387163701937859,EUR Portfolio
KRD Contribution 7Y,0.0012635352501004606,EUR Portfolio
KRD Contribution 10Y,0.0012768732523230173,EUR Portfolio
KRD Contribution 15Y,0.0008661684762006997,EUR Portfolio
KRD Contribution 20Y,0.0005852607089505632,EUR Portfolio
KRD Contribution 25Y,0.0004977020409368352,EUR Portfolio
KRD Contribution 30Y,0.0003608825662697668,EUR Portfolio
KRD Contribution 40Y,5.971177580208985e-05,EUR Portfolio
KRD Contribution 50Y,2.0052342602228356e-05,EUR Portfolio
