Issuer,Market Value,Portfolio
FRANCE (REPUBLIC OF)       RegS,1482528152.3026903,EUR Portfolio
GERMANY (FEDERAL REPUBLIC OF) RegS,1309350799.8292565,EUR Portfolio
SPAIN (KINGDOM OF),1051203364.1416433,EUR Portfolio
ITALY (REPUBLIC OF)        RegS,872330172.9756039,EUR Portfolio
ITALY (REPUBLIC OF),660048203.854818,EUR Portfolio
EUROPEAN UNION    RegS,363320210.44019866,EUR Portfolio
NETHERLANDS (KINGDOM OF),329189559.37967986,EUR Portfolio
FRANCE (REPUBLIC OF),274338388.2474002,EUR Portfolio
BELGIUM KINGDOM OF (GOVERNMENT),261275867.53577998,EUR Portfolio
AUSTRIA (REPUBLIC OF),230995694.73627815,EUR Portfolio
