Rating,Market Value %,Portfolio
A,2.994783101083755,USD Portfolio
A+,2.033931415594623,USD Portfolio
A-,3.358905353727907,USD Portfolio
AA,0.3439598906275306,USD Portfolio
AA+,70.21858615288173,USD Portfolio
AA-,2.5317360938675098,USD Portfolio
AAA,2.2468960651673484,USD Portfolio
Agency,0.01196642591738228,USD Portfolio
BB+,0.104533905133565,USD Portfolio
BB-,0.0019497799466979655,USD Portfolio
BBB,3.6449517615393763,USD Portfolio
BBB+,2.512745516409031,USD Portfolio
BBB+(E,0.001141084066183096,USD Portfolio
BBB-,2.1700403500326426,USD Portfolio
NR,7.089251879611652,USD Portfolio
UNK,0.010391192464869572,USD Portfolio
WD,0.7242300319282164,USD Portfolio
