Rating,Market Value %,Portfolio
A1,4.292657606829586,USD Portfolio
A2,3.2693783687079225,USD Portfolio
A3,4.066258821948933,USD Portfolio
Aa1,0.20719495747084019,USD Portfolio
Aa2,1.2023357094717815,USD Portfolio
Aa3,1.0462252700839507,USD Portfolio
Aaa,3.0592355836441785,USD Portfolio
Agency,21.333097590428878,USD Portfolio
Ba1,0.5267804564088132,USD Portfolio
Ba2,0.012080021896874326,USD Portfolio
Baa1,3.5544173310936484,USD Portfolio
Baa2,5.364548277727521,USD Portfolio
Baa3,2.535808729855291,USD Portfolio
Govt,48.57572023330525,USD Portfolio
NR,0.9453925081670409,USD Portfolio
UNK,0.008868532959484192,USD Portfolio
