Rating,Market Value %,Portfolio
A,2.828407966282413,USD Portfolio
A+,1.835218295861683,USD Portfolio
A-,5.964581232962473,USD Portfolio
AA,0.6840652576242657,USD Portfolio
AA+,70.48656682974755,USD Portfolio
AA-,1.2132081760460556,USD Portfolio
AAA,2.6900183246228764,USD Portfolio
Agency,0.0014492520110327744,USD Portfolio
BB+,0.16309435649643672,USD Portfolio
BBB,5.731607359197861,USD Portfolio
BBB+,5.0194972822340915,USD Portfolio
BBB-,2.5142237967309,USD Portfolio
NR,0.8594900518327993,USD Portfolio
UNK,0.008571818349561739,USD Portfolio
