Security Description,Market Value %,Portfolio
TREASURY NOTE,29.685693120081126,USD Portfolio
TREASURY BOND,7.413395228188881,USD Portfolio
UMBS 30Yr 2021 W2D,3.067168236528877,USD Portfolio
UMBS 30Yr 2020 W2D,2.263633828820876,USD Portfolio
UMBS 30Yr 2022 W2D,1.7144731543299416,USD Portfolio
GNMA II 30Yr 2021,1.5128771113235269,USD Portfolio
TREASURY NOTE (OTR),1.3471291098540963,USD Portfolio
TREASURY NOTE (OLD),1.3026990998072612,USD Portfolio
TREASURY NOTE (2OLD),1.2272931559358118,USD Portfolio
GNMA II 30Yr 2022,1.1653453137047365,USD Portfolio
