Rating,Market Value %,Portfolio
A,2.976311333068584,USD Portfolio
A+,2.03105553652355,USD Portfolio
A-,3.3381876862425637,USD Portfolio
A1,0.06338033092877378,USD Portfolio
A2,0.012460591127047392,USD Portfolio
A3,0.07730596812572536,USD Portfolio
AA,0.3418383522416969,USD Portfolio
AA+,69.7858475866635,USD Portfolio
AA-,2.516120391419933,USD Portfolio
AAA,2.2330372508662553,USD Portfolio
Aa1,0.019142110649297554,USD Portfolio
Aa2,0.017443631178258655,USD Portfolio
Aa3,0.01703018345165629,USD Portfolio
Aaa,0.2393600531389413,USD Portfolio
Agency,0.014953983057050695,USD Portfolio
BB+,0.10388914189690579,USD Portfolio
BB-,0.0019377537392430736,USD Portfolio
BBB,3.624841009236432,USD Portfolio
BBB+,2.497246947499826,USD Portfolio
BBB+(E,0.0011340458802962068,USD Portfolio
BBB-,2.1566555803927785,USD Portfolio
Baa1,0.06971202295990275,USD Portfolio
Baa2,0.0492991769482065,USD Portfolio
Baa3,0.03500099293357909,USD Portfolio
NR,7.046718245865378,USD Portfolio
UNK,0.010327099777642039,USD Portfolio
WD,0.7197629941869668,USD Portfolio
