Tenor,Contribution,Portfolio
KRD Contribution 3M,-1.5999346660914686e-05,USD Portfolio
KRD Contribution 1Y,0.00018897635573941898,USD Portfolio
KRD Contribution 2Y,0.00045766098058862417,USD Portfolio
KRD Contribution 3Y,0.0008822929407995633,USD Portfolio
KRD Contribution 5Y,0.0013527630362362853,USD Portfolio
KRD Contribution 7Y,0.0017607213104770584,USD Portfolio
KRD Contribution 10Y,0.0020017379484265113,USD Portfolio
KRD Contribution 15Y,0.001639848386530266,USD Portfolio
KRD Contribution 20Y,0.0012482600960614066,USD Portfolio
KRD Contribution 25Y,0.0008251392614371757,USD Portfolio
KRD Contribution 30Y,0.0003875365812202713,USD Portfolio
KRD Contribution 40Y,7.523839238915723e-06,USD Portfolio
KRD Contribution 50Y,6.180011953195899e-06,USD Portfolio
