Issuer,Market Value,Portfolio
TREASURY NOTE,7811441351.586865,USD Portfolio
TREASURY BOND,1950747850.3831248,USD Portfolio
UMBS 30Yr 2021 W2D,807089283.6552356,USD Portfolio
UMBS 30Yr 2020 W2D,595648645.4190621,USD Portfolio
UMBS 30Yr 2022 W2D,451143466.3069735,USD Portfolio
GNMA II 30Yr 2021,398095836.2487306,USD Portfolio
TREASURY NOTE (OTR),354481197.12328064,USD Portfolio
TREASURY NOTE (OLD),342789962.0112228,USD Portfolio
TREASURY NOTE (2OLD),322947773.86590284,USD Portfolio
GNMA II 30Yr 2022,306646927.0408691,USD Portfolio
